Country Name,year,total_gdp,population,income_per_person,co2_emissions,receipts_percent_total_exports,receipts_travel_items,receipts_passenger_transport_items,receipts_current_us,number_of_departures,number_of_arrivals,expenditures_passenger_transport_items,expenditures_percent_total_imports,expenditures_current_us
Afghanistan,1960,,9170000.0,1520.0,0.0536,,,,,,,,,
Angola,1960,,5530000.0,2590.0,0.0821,,,,,,,,,
Albania,1960,,1690000.0,2720.0,1.35,,,,,,,,,
Andorra,1960,,14400.0,18600.0,,,,,,,,,,
United Arab Emirates,1960,,101000.0,47700.0,0.109,,,,,,,,,
Argentina,1960,159000000000.0,20800000.0,10900.0,2.46,,,,,,,,,
Armenia,1960,,1940000.0,6940.0,3.83,,,,,,,,,
Antigua and Barbuda,1960,,55000.0,3390.0,0.867,,,,,,,,,
Australia,1960,210000000000.0,10400000.0,16000.0,8.67,,,,,,,,,
Austria,1960,89600000000.0,7110000.0,12700.0,4.48,,,,,,,,,
Azerbaijan,1960,,4030000.0000000005,5740.0,5.27,,,,,,,,,
Burundi,1960,689000000.0,2850000.0,713.0,0.0168,,,,,,,,,
Belgium,1960,113000000000.0,9230000.0,13500.0,10.1,,,,,,,,,
Benin,1960,1700000000.0,2470000.0,1730.0,0.052,,,,,,,,,
Burkina Faso,1960,1210000000.0,4890000.0,645.0,0.0187,,,,,,,,,
Bangladesh,1960,23600000000.0,49400000.0,1060.0,0.0464,,,,,,,,,
Bulgaria,1960,,7950000.0,5730.0,3.26,,,,,,,,,
Bahrain,1960,,168000.0,26200.0,10.5,,,,,,,,,
Bosnia and Herzegovina,1960,,3290000.0,3400.0,1.67,,,,,,,,,
Belarus,1960,,8199999.999999999,5550.0,5.69,,,,,,,,,
Belize,1960,115000000.0,94700.0,2460.0,0.387,,,,,,,,,
Bolivia,1960,4830000000.0,3730000.0,2980.0,0.279,,,,,,,,,
Brazil,1960,205000000000.0,74300000.0,4190.0,0.662,,,,,,,,,
Barbados,1960,,232000.0,6590.0,0.839,,,,,,,,,
Bhutan,1960,,229000.0,1100.0,,,,,,,,,,
Botswana,1960,191000000.0,513000.0,872.0,,,,,,,,,,
Central African Republic,1960,1030000000.0,1530000.0,1860.0,0.0577,,,,,,,,,
Canada,1960,,18200000.0,16400.0,10.6,,,,,,,,,
Switzerland,1960,,5380000.0,35900.0,3.79,,,,,,,,,
Chile,1960,28500000000.0,8300000.000000001,8000.0,1.74,,,,,,,,,
China,1960,116000000000.0,671000000.0,996.0,0.822,,,,,,,,,
Cote d'Ivoire,1960,6040000000.0,3630000.0,2460.0,0.152,,,,,,,,,
Cameroon,1960,4880000000.0,5290000.0,2580.0,0.0534,,,,,,,,,
"Congo, Dem. Rep.",1960,17100000000.000002,15600000.0,2440.0,0.151,,,,,,,,,
"Congo, Rep.",1960,1360000000.0,1040000.0,2360.0,0.257,,,,,,,,,
Colombia,1960,32200000000.000004,16600000.000000002,4700.0,1.1,,,,,,,,,
Comoros,1960,,194000.0,1050.0,0.0567,,,,,,,,,
Costa Rica,1960,4880000000.0,1380000.0,5070.0,0.356,,,,,,,,,
Cuba,1960,,7290000.0,3570.0,1.67,,,,,,,,,
Cyprus,1960,,576000.0,4530.0,1.5,,,,,,,,,
Germany,1960,,73900000.0,14900.0,11.3,,,,,,,,,
Djibouti,1960,,88500.0,4780.0,0.497,,,,,,,,,
Dominica,1960,,61000.0,2060.0,0.18,,,,,,,,,
Denmark,1960,88200000000.0,4610000.0,17300.0,6.88,,,,,,,,,
Dominican Republic,1960,4430000000.0,3410000.0,2310.0,0.302,,,,,,,,,
Algeria,1960,20700000000.0,11300000.0,6250.0,0.535,,,,,,,,,
Ecuador,1960,12300000000.0,4670000.0,4240.0,0.352,,,,,,,,,
Eritrea,1960,,1030000.0,1070.0,,,,,,,,,,
Spain,1960,212000000000.0,30700000.0,6550.0,1.75,,,,,,,,,
Estonia,1960,,1230000.0,7880.0,8.79,,,,,,,,,
Ethiopia,1960,,22700000.0,831.0,0.015,,,,,,,,,
Finland,1960,54500000000.0,4470000.0,12400.0,3.34,,,,,,,,,
Fiji,1960,895000000.0,407000.0,4540.0,0.414,,,,,,,,,
France,1960,547000000000.0,46300000.0,14300.0,6.09,,,,,,,,,
"Micronesia, Fed. Sts.",1960,,45900.0,1640.0,,,,,,,,,,
Gabon,1960,1950000000.0,506000.0,6320.0,0.326,,,,,,,,,
United Kingdom,1960,802000000000.0,52700000.0,16400.0,11.2,,,,,,,,,
Georgia,1960,,4080000.0,5760.0,2.79,,,,,,,,,
Ghana,1960,7920000000.0,6850000.0,2560.0,0.197,,,,,,,,,
Guinea,1960,,3550000.0,1670.0,0.173,,,,,,,,,
